variable	Date	layer	mean_value	data_type
NH4	2009-04-06	0-20 m	0.554323712665332	obs
NH4	2009-04-06	20 m to bottom	0.554323712665332	obs
NH4	2009-05-05	0-20 m	0.970292373258972	obs
NH4	2009-05-05	20 m to bottom	0.89673667867273	obs
NH4	2009-06-02	0-20 m	1.33851796037606	obs
NH4	2009-06-02	20 m to bottom	1.55100851964935	obs
NH4	2009-07-07	0-20 m	1.41757823573681	obs
NH4	2009-07-07	20 m to bottom	2.7587640528803	obs
NH4	2009-08-04	0-20 m	1.9030713324585	obs
NH4	2009-08-04	20 m to bottom	3.5200101770733	obs
NH4	2009-09-01	0-20 m	2.07716864970543	obs
NH4	2009-09-01	20 m to bottom	3.58783602714833	obs
NH4	2009-10-06	0-20 m	1.59086551587222	obs
NH4	2009-10-06	20 m to bottom	2.75202130402388	obs
NH4	2010-04-06	0-20 m	1.06250772013968	obs
NH4	2010-04-06	20 m to bottom	1.20824814873618	obs
NH4	2010-05-04	0-20 m	0.710714809562613	obs
NH4	2010-05-04	20 m to bottom	1.10864742533067	obs
NH4	2010-06-01	0-20 m	0.780843371491191	obs
NH4	2010-06-01	20 m to bottom	1.44000896642498	obs
NH4	2010-07-06	0-20 m	0.662271201629924	obs
NH4	2010-07-06	20 m to bottom	0.905672416816527	obs
NH4	2010-08-03	0-20 m	1.99726461136296	obs
NH4	2010-08-03	20 m to bottom	2.44720828282254	obs
NH4	2010-08-31	0-20 m	1.20735860196638	obs
NH4	2010-08-31	20 m to bottom	3.37370561825082	obs
NH4	2010-10-05	0-20 m	0.882145188923566	obs
NH4	2010-10-05	20 m to bottom	1.91695680639879	obs
NH4	2011-03-01	0-20 m	0.647381017044459	obs
NH4	2011-03-01	20 m to bottom	0.684325821468989	obs
NH4	2011-04-05	0-20 m	0.87706490252094	obs
NH4	2011-04-05	20 m to bottom	0.885313057365965	obs
NH4	2011-05-03	0-20 m	0.954470932819361	obs
NH4	2011-05-03	20 m to bottom	0.871834193011803	obs
NH4	2011-05-31	0-20 m	0.704877129517063	obs
