Hoehe [mNN],Inhalt [Mio m³],Hoehe [mNN],Flaeche [m²],Flaeche [ha]
475.48,0.002,475.48,5635,0.56
475.49,0.002,475.49,5734,0.57
475.5,0.002,475.5,5833,0.58
475.51,0.002,475.51,5933,0.59
475.52,0.002,475.52,6032,0.6
475.53,0.002,475.53,6131,0.61
475.54,0.003,475.54,6230,0.62
475.55,0.003,475.55,6330,0.63
475.56,0.003,475.56,6429,0.64
475.57,0.003,475.57,6528,0.65
475.58,0.003,475.58,6628,0.66
475.59,0.003,475.59,6727,0.67
475.6,0.003,475.6,6826,0.68
475.61,0.003,475.61,6925,0.69
475.62,0.003,475.62,7025,0.7
475.63,0.003,475.63,7124,0.71
475.64,0.003,475.64,7223,0.72
475.65,0.003,475.65,7322,0.73
475.66,0.003,475.66,7422,0.74
475.67,0.003,475.67,7521,0.75
475.68,0.003,475.68,7620,0.76
475.69,0.003,475.69,7720,0.77
475.7,0.003,475.7,7819,0.78
475.71,0.004,475.71,7918,0.79
475.72,0.004,475.72,8017,0.8
475.73,0.004,475.73,8117,0.81
475.74,0.004,475.74,8216,0.82
475.75,0.004,475.75,8315,0.83
475.76,0.004,475.76,8414,0.84
475.77,0.004,475.77,8514,0.85
475.78,0.004,475.78,8613,0.86
475.79,0.004,475.79,8712,0.87
475.8,0.004,475.8,8812,0.88
475.81,0.004,475.81,8911,0.89
475.82,0.004,475.82,9010,0.9
475.83,0.004,475.83,9109,0.91
475.84,0.005,475.84,9209,0.92
475.85,0.005,475.85,9308,0.93
475.86,0.005,475.86,9407,0.94
475.87,0.005,475.87,9506,0.95
475.88,0.005,475.88,9606,0.96
475.89,0.005,475.89,9705,0.97
475.9,0.005,475.9,9804,0.98
475.91,0.005,475.91,9904,0.99
475.92,0.005,475.92,10003,1
475.93,0.005,475.93,10102,1.01
475.94,0.005,475.94,10201,1.02
475.95,0.005,475.95,10301,1.03
475.96,0.006,475.96,10400,1.04
475.97,0.006,475.97,10499,1.05
475.98,0.006,475.98,10598,1.06
475.99,0.006,475.99,10698,1.07
476,0.006,476,10797,1.08
476.01,0.006,476.01,10896,1.09
476.02,0.006,476.02,10996,1.1
476.03,0.006,476.03,11095,1.11
476.04,0.006,476.04,11194,1.12
476.05,0.006,476.05,11293,1.13
476.06,0.007,476.06,11393,1.14
476.07,0.007,476.07,11492,1.15
476.08,0.007,476.08,11591,1.16
476.09,0.007,476.09,11690,1.17
476.1,0.007,476.1,11790,1.18
476.11,0.007,476.11,11889,1.19
476.12,0.007,476.12,11988,1.2
476.13,0.007,476.13,12088,1.21
476.14,0.007,476.14,12187,1.22
476.15,0.007,476.15,12286,1.23
476.16,0.008,476.16,12385,1.24
476.17,0.008,476.17,12485,1.25
476.18,0.008,476.18,12584,1.26
476.19,0.008,476.19,12683,1.27
476.2,0.008,476.2,12782,1.28
476.21,0.008,476.21,12882,1.29
476.22,0.008,476.22,12981,1.3
476.23,0.008,476.23,13080,1.31
476.24,0.008,476.24,13180,1.32
476.25,0.009,476.25,13279,1.33
476.26,0.009,476.26,13378,1.34
476.27,0.009,476.27,13477,1.35
476.28,0.009,476.28,13577,1.36
476.29,0.009,476.29,13676,1.37
476.3,0.009,476.3,13775,1.38
476.31,0.009,476.31,13874,1.39
476.32,0.009,476.32,13974,1.4
476.33,0.01,476.33,14073,1.41
476.34,0.01,476.34,14172,1.42
476.35,0.01,476.35,14272,1.43
476.36,0.01,476.36,14371,1.44
476.37,0.01,476.37,14470,1.45
476.38,0.01,476.38,14569,1.46
476.39,0.01,476.39,14669,1.47
476.4,0.01,476.4,14768,1.48
476.41,0.011,476.41,14867,1.49
476.42,0.011,476.42,14966,1.5
476.43,0.011,476.43,15066,1.51
476.44,0.011,476.44,15165,1.52
476.45,0.011,476.45,15264,1.53
476.46,0.011,476.46,15364,1.54
476.47,0.011,476.47,15463,1.55
476.48,0.012,476.48,15562,1.56
476.49,0.012,476.49,15661,1.57
476.5,0.012,476.5,15761,1.58
476.51,0.012,476.51,15860,1.59
476.52,0.012,476.52,15959,1.6
476.53,0.012,476.53,16058,1.61
476.54,0.012,476.54,16158,1.62
476.55,0.013,476.55,16257,1.63
476.56,0.013,476.56,16356,1.64
476.57,0.013,476.57,16456,1.65
476.58,0.013,476.58,16555,1.66
476.59,0.013,476.59,16654,1.67
476.6,0.013,476.6,16753,1.68
476.61,0.013,476.61,16853,1.69
476.62,0.014,476.62,16952,1.7
476.63,0.014,476.63,17051,1.71
476.64,0.014,476.64,17150,1.72
476.65,0.014,476.65,17250,1.72
476.66,0.014,476.66,17349,1.73
476.67,0.014,476.67,17448,1.74
476.68,0.014,476.68,17548,1.75
476.69,0.015,476.69,17647,1.76
476.7,0.015,476.7,17746,1.77
476.71,0.015,476.71,17845,1.78
476.72,0.015,476.72,17945,1.79
476.73,0.015,476.73,18044,1.8
476.74,0.015,476.74,18143,1.81
476.75,0.016,476.75,18242,1.82
476.76,0.016,476.76,18342,1.83
476.77,0.016,476.77,18441,1.84
476.78,0.016,476.78,18540,1.85
476.79,0.016,476.79,18640,1.86
476.8,0.016,476.8,18739,1.87
476.81,0.017,476.81,18838,1.88
476.82,0.017,476.82,18937,1.89
476.83,0.017,476.83,19037,1.9
476.84,0.017,476.84,19136,1.91
476.85,0.017,476.85,19235,1.92
476.86,0.017,476.86,19334,1.93
476.87,0.018,476.87,19434,1.94
476.88,0.018,476.88,19533,1.95
476.89,0.018,476.89,19632,1.96
476.9,0.018,476.9,19732,1.97
476.91,0.018,476.91,19831,1.98
476.92,0.018,476.92,19930,1.99
476.93,0.019,476.93,20029,2
476.94,0.019,476.94,20129,2.01
