variable	Date	layer	mean_value	data_type
Temp	2008-12-16	0 m to bottom	4.41698545495677	mod
Temp	2008-12-17	0 m to bottom	4.33955670918576	mod
Temp	2008-12-18	0 m to bottom	4.26178284003042	mod
Temp	2008-12-19	0 m to bottom	4.17244824696943	mod
Temp	2008-12-20	0 m to bottom	4.08486651122081	mod
Temp	2008-12-21	0 m to bottom	4.02869172405386	mod
Temp	2008-12-22	0 m to bottom	3.99652083034167	mod
Temp	2008-12-23	0 m to bottom	3.98813115442556	mod
Temp	2008-12-24	0 m to bottom	3.9715060349164	mod
Temp	2008-12-25	0 m to bottom	3.94265991260028	mod
Temp	2008-12-26	0 m to bottom	3.84206896021726	mod
Temp	2008-12-27	0 m to bottom	3.66511746313049	mod
Temp	2008-12-28	0 m to bottom	3.50014087321765	mod
Temp	2008-12-29	0 m to bottom	3.31713928340621	mod
Temp	2008-12-30	0 m to bottom	3.14806478593946	mod
Temp	2008-12-31	0 m to bottom	3.02202025536479	mod
Temp	2009-01-01	0 m to bottom	2.97959443701261	mod
Temp	2009-01-02	0 m to bottom	2.93841258436569	mod
Temp	2009-01-03	0 m to bottom	2.89607007261277	mod
Temp	2009-01-04	0 m to bottom	2.86114070349761	mod
Temp	2009-01-05	0 m to bottom	2.82169531781755	mod
Temp	2009-01-06	0 m to bottom	2.78787491310604	mod
Temp	2009-01-07	0 m to bottom	2.756344275905	mod
Temp	2009-01-08	0 m to bottom	2.72204004378842	mod
Temp	2009-01-09	0 m to bottom	2.69036016778231	mod
Temp	2009-01-10	0 m to bottom	2.66179667990731	mod
Temp	2009-01-11	0 m to bottom	2.63399666343156	mod
Temp	2009-01-12	0 m to bottom	2.60658122750531	mod
Temp	2009-01-13	0 m to bottom	2.57934548111453	mod
Temp	2009-01-14	0 m to bottom	2.55206859871988	mod
Temp	2009-01-15	0 m to bottom	2.52320715474976	mod
Temp	2009-01-16	0 m to bottom	2.49186376456987	mod
Temp	2009-01-17	0 m to bottom	2.46520313309617	mod
Temp	2009-01-18	0 m to bottom	2.43741417811832	mod
Temp	2009-01-19	0 m to bottom	2.40881175170349	mod
Temp	2009-01-20	0 m to bottom	2.37813453480064	mod
Temp	2009-01-21	0 m to bottom	2.35341105716789	mod
Temp	2009-01-22	0 m to bottom	2.33035929358653	mod
Temp	2009-01-23	0 m to bottom	2.30482096568626	mod
Temp	2009-01-24	0 m to bottom	2.28011694532438	mod
Temp	2009-01-25	0 m to bottom	2.25908259728803	mod
Temp	2009-01-26	0 m to bottom	2.23744097547843	mod
Temp	2009-01-27	0 m to bottom	2.21174598865162	mod
Temp	2009-01-28	0 m to bottom	2.18752385875268	mod
Temp	2009-01-29	0 m to bottom	2.16613485561855	mod
Temp	2009-01-30	0 m to bottom	2.14450727185956	mod
Temp	2009-01-31	0 m to bottom	2.12124954624219	mod
Temp	2009-02-01	0 m to bottom	2.1014132185045	mod
Temp	2009-02-02	0 m to bottom	2.08221923035053	mod
Temp	2009-02-03	0 m to bottom	2.06239697308603	mod
Temp	2009-02-04	0 m to bottom	2.04778129547237	mod
Temp	2009-02-05	0 m to bottom	2.03276970328672	mod
Temp	2009-02-06	0 m to bottom	2.01600385560729	mod
Temp	2009-02-07	0 m to bottom	1.99957235419827	mod
Temp	2009-02-08	0 m to bottom	1.98488267783273	mod
Temp	2009-02-09	0 m to bottom	1.97236768456062	mod
Temp	2009-02-10	0 m to bottom	1.95538580576181	mod
Temp	2009-02-11	0 m to bottom	1.94122808991868	mod
Temp	2009-02-12	0 m to bottom	1.9369759530751	mod
Temp	2009-02-13	0 m to bottom	1.93246772912449	mod
Temp	2009-02-14	0 m to bottom	1.92511751161671	mod
Temp	2009-02-15	0 m to bottom	1.91521549312314	mod
Temp	2009-02-16	0 m to bottom	1.90619790105249	mod
Temp	2009-02-17	0 m to bottom	1.8890925545343	mod
Temp	2009-02-18	0 m to bottom	1.87653478247075	mod
Temp	2009-02-19	0 m to bottom	1.87125403589568	mod
Temp	2009-02-20	0 m to bottom	1.8680974564478	mod
Temp	2009-02-21	0 m to bottom	1.84664565190778	mod
Temp	2009-02-22	0 m to bottom	1.82970568928275	mod
Temp	2009-02-23	0 m to bottom	1.8103869255131	mod
Temp	2009-02-24	0 m to bottom	1.79164890500128	mod
Temp	2009-02-25	0 m to bottom	1.78069133075465	mod
Temp	2009-02-26	0 m to bottom	1.77080614540234	mod
Temp	2009-02-27	0 m to bottom	1.78107963513054	mod
Temp	2009-02-28	0 m to bottom	1.79640747542425	mod
Temp	2009-03-01	0 m to bottom	1.80999796116483	mod
Temp	2009-03-02	0 m to bottom	1.83323085596694	mod
Temp	2009-03-03	0 m to bottom	1.85038411463069	mod
Temp	2009-03-04	0 m to bottom	1.87460512124303	mod
Temp	2009-03-05	0 m to bottom	1.92020827658811	mod
Temp	2009-03-06	0 m to bottom	1.95027080024351	mod
Temp	2009-03-07	0 m to bottom	1.98044317094155	mod
Temp	2009-03-08	0 m to bottom	2.00314800120196	mod
Temp	2009-03-09	0 m to bottom	2.05047610013814	mod
Temp	2009-03-10	0 m to bottom	2.10629375519084	mod
Temp	2009-03-11	0 m to bottom	2.16895955111592	mod
Temp	2009-03-12	0 m to bottom	2.22065031853718	mod
Temp	2009-03-13	0 m to bottom	2.2760528529089	mod
Temp	2009-03-14	0 m to bottom	2.36257944449598	mod
Temp	2009-03-15	0 m to bottom	2.46543004084581	mod
Temp	2009-03-16	0 m to bottom	2.56764835813056	mod
Temp	2009-03-17	0 m to bottom	2.66397252099714	mod
Temp	2009-03-18	0 m to bottom	2.75414957732053	mod
Temp	2009-03-19	0 m to bottom	2.84184544687747	mod
Temp	2009-03-20	0 m to bottom	2.89559614577548	mod
Temp	2009-03-21	0 m to bottom	2.91257658187573	mod
Temp	2009-03-22	0 m to bottom	2.9374952328924	mod
Temp	2009-03-23	0 m to bottom	2.96905641771718	mod
Temp	2009-03-24	0 m to bottom	3.02243354989439	mod
Temp	2009-03-25	0 m to bottom	3.03408403700793	mod
